DATE,DURATION,PROTOCOL,SRC IP,SRC PORT,DEST IP,DEST PORT,PACKETS,BYTES,FLOWS,FLAGS,TOS,CLASS
40:30.8,9.44,TCP  ,EXT_SERVER,22,10054_249,39562,19,3185,1,.AP.SF,0,suspicious
40:30.8,9.44,TCP  ,10054_249,39562,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
40:32.0,8.72,TCP  ,10006_27,42862,EXT_SERVER,22,16,2215,1,.AP.SF,0,suspicious
40:32.0,8.72,TCP  ,EXT_SERVER,22,10006_27,42862,20,3237,1,.AP.SF,0,suspicious
40:39.9,10.176,TCP  ,EXT_SERVER,22,10054_249,48434,19,3185,1,.AP.SF,0,suspicious
40:39.9,10.176,TCP  ,10054_249,48434,EXT_SERVER,22,18,2319,1,.AP.SF,0,suspicious
43:43.4,14.007,TCP  ,EXT_SERVER,22,10001_123,4386,18,2985,1,.AP.S.,0,suspicious
43:43.4,14.007,TCP  ,10001_123,4386,EXT_SERVER,22,13,2843,1,.APRS.,0,suspicious
44:05.4,0,TCP  ,EXT_SERVER,23,10061_213,61969,1,40,1,.A.R..,0,suspicious
44:05.4,0,TCP  ,10061_213,61969,EXT_SERVER,23,1,46,1,....S.,0,suspicious
41:07.0,9.754,TCP  ,EXT_SERVER,22,10054_249,40543,19,3185,1,.AP.SF,0,suspicious
41:07.0,9.754,TCP  ,10054_249,40543,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious
39:57.0,85.598,TCP  ,10004_35,62441,EXT_SERVER,22,6,983,1,.AP.SF,0,suspicious
39:57.0,85.598,TCP  ,EXT_SERVER,22,10004_35,62441,13,8533,1,.AP.SF,0,suspicious
44:10.6,12.873,TCP  ,EXT_SERVER,22,10001_123,4649,18,2985,1,.AP.S.,0,suspicious
44:10.6,12.873,TCP  ,10001_123,4649,EXT_SERVER,22,13,2779,1,.APRS.,0,suspicious
41:16.4,9.84,TCP  ,EXT_SERVER,22,10054_249,47792,19,3185,1,.AP.SF,0,suspicious
41:16.4,9.84,TCP  ,10054_249,47792,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious
41:25.1,9.428,TCP  ,10006_27,14524,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious
41:25.1,9.428,TCP  ,EXT_SERVER,22,10006_27,14524,19,3185,1,.AP.SF,0,suspicious
41:25.9,9.602,TCP  ,EXT_SERVER,22,10054_249,55458,20,3237,1,.AP.SF,0,suspicious
41:25.9,9.602,TCP  ,10054_249,55458,EXT_SERVER,22,18,2335,1,.AP.SF,0,suspicious
41:39.5,0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50522,7,561,1,.AP.SF,0,normal
41:39.5,0.067,TCP  ,OPENSTACK_NET,50522,EXT_SERVER,8000,6,589,1,.AP.SF,0,normal
41:39.7,0.067,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,50523,7,1726,1,.AP.SF,0,normal
